CRS,gdp
Alabama,55223
Antigua and Barbuda,16787
Aruba,31990
Belgium,50598
Belize,6096
British Virgin Islands,51000
Bulgaria,12505
California,93130
Connecticut,89301
Croatia,17318
Cyprus,29535
Denmark,65713
Dominican Republic,10573
Estonia,29344
Florida,63081
France,42330
Georgia,6770
Germany,48398
Gibraltar,43000
Grenada,10477
Guadeloupe,63385
Guatemala,4880
Hawaii,68985
Hungary,18983
Illinois,82789
Italy,33740
Jersey,81307
Louisiana,62011
Maine,61491
Malta,32912
Martinique,40900
Maryland,76958
Mexico,58589
Michigan,62454
Mississippi,47572
Netherlands,56298
Netherlands Antilles,28000
Norway,92646
Oregon,71150
Panama,16173
Puerto Rico,38443
Romania,15619
Saint Kitts and Nevis,19129
Saint Lucia,10763
Saint Vincent and the Grenadines,8546
Sint Maarten (Dutch part),57767
Saint-Martin, 69234
Slovenia,29469
South Carolina,56593
Spain,29198
Sweden,56361
Switzerland,92434
Texas,79995
Trinidad and Tobago,20746
Turkey,9961
United Kingdom,47318
Washington,93977
West Indies,2466
